name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;640;0;778;3067;1049;3067;1049;0
header;214;135;214;169;1828;169;1828;135
A;1012;191;1012;218;1032;218;1032;191
C;724;737;724;763;750;763;750;737
B;1017;875;1017;901;1038;901;1038;875
A;697;939;697;952;704;952;704;939
A;1033;1437;1033;1437;1035;1437;1035;1437
B;742;1525;742;1544;756;1544;756;1525
C;1007;1559;1007;1589;1030;1589;1030;1559
B;981;1906;981;1918;989;1918;989;1906
A;944;2181;944;2182;944;2182;944;2181
D;1000;2239;1000;2265;1022;2265;1022;2239
