name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;217;0;132;3063;976;3063;999;0
header;155;118;155;149;1784;149;1784;118
D;391;179;391;194;412;194;412;179
A;965;185;965;210;985;210;985;185
B;213;272;213;287;235;287;235;272
B;763;410;763;425;785;425;785;410
B;728;502;728;528;741;528;741;502
A;436;511;436;516;440;516;440;511
B;958;869;958;896;978;896;978;869
A;682;1338;682;1342;687;1342;687;1338
C;950;1541;950;1569;971;1569;971;1541
A;275;1891;275;1897;280;1897;280;1891
D;949;2214;949;2240;968;2240;968;2214
A;889;2535;889;2539;893;2539;893;2535
B;135;2834;135;2850;157;2850;157;2834
A;674;2951;674;2952;674;2952;674;2951
